District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm,Budget_per_Acre_Rs
Namakkal,54973,3955,703,Groundnut,1419,Mixed,Wells,172,29,24,4466,Low,33089,5.55,31,59,80,41.53,2.16,60,16,16,1.48,24.3,1.77,19.36,14.02,2.54,35000.0
Perambalur,64587,5390,586,Groundnut,1304,Laterite,Tube Wells,180,31,21,4882,Medium,23533,6.65,32,43,62,31.54,4.51,42,31,26,1.58,19.34,4.17,6.08,12.61,3.12,35000.0
Pudukkottai,34621,8182,1856,Cotton,1103,Red,Rain-fed,159,26,20,5151,Low,33203,6.06,10,27,40,15.42,1.8,60,20,23,1.64,27.15,7.7,44.89,14.76,4.6,55000.0
Ramanathapuram,58469,1636,908,Cotton,1340,Laterite,Tanks,169,30,20,4033,Low,11097,8.46,30,39,74,21.1,2.28,43,21,25,2.02,18.41,3.22,19.76,6.92,4.83,55000.0
Ranipet,76985,4517,1128,Tapioca,1025,Red,Tube Wells,123,31,22,5412,Low,7874,7.5,16,24,64,39.18,0.73,50,26,39,0.2,30.08,4.82,35.14,11.4,1.32,40000.0
Salem,40730,4213,1211,Groundnut,1428,Black,Canals,148,35,14,4156,Medium,10603,7.85,27,52,68,32.5,1.62,35,25,19,1.32,34.91,7.88,17.64,10.61,2.49,35000.0
Sivagangai,79470,7019,1451,Paddy,1091,Mixed,Rain-fed,200,27,16,4211,Low,24445,7.19,23,47,55,39.97,3.83,41,24,32,0.64,19.67,6.84,25.25,7.37,1.54,45000.0
Tenkasi,20425,2397,500,Groundnut,1115,Alluvial,Tanks,155,31,17,5157,High,29148,4.67,18,37,61,34.21,0.59,47,19,38,0.76,17.5,3.14,49.37,8.21,3.54,35000.0
Thanjavur,54522,4912,1786,Cotton,1090,Mixed,Tanks,112,27,16,4280,High,24450,6.05,16,53,76,17.03,0.71,31,34,26,0.38,28.68,9.94,2.46,8.87,0.56,55000.0
Theni,85612,6281,1012,Paddy,1145,Black,Rain-fed,117,29,16,4473,Medium,30266,6.78,47,30,77,14.3,5.84,32,40,40,0.71,36.75,8.47,39.78,12.83,2.18,45000.0
Thiruvallur,43416,4020,932,Cotton,1258,Red,Canals,167,29,16,4841,High,18877,6.51,50,32,70,29.34,0.81,28,37,20,0.92,18.75,3.18,4.33,2.9,2.0,55000.0
Thiruvarur,86542,8027,2079,Maize,916,Black,Tanks,156,31,21,4089,High,15213,8.23,16,20,35,41.06,2.15,48,21,25,1.3,36.74,2.84,37.01,7.84,0.56,40000.0
Thoothukudi,33947,8862,756,Cotton,1378,Mixed,Rain-fed,188,35,24,4419,Low,10488,6.27,29,52,74,17.53,2.99,51,37,26,2.33,16.43,1.2,33.01,3.9,2.73,55000.0
Tiruchirappalli,59117,7441,463,Groundnut,877,Laterite,Wells,140,32,23,4956,Medium,17951,6.6,25,53,43,36.03,0.87,22,14,17,2.04,7.87,7.56,40.35,10.05,3.75,35000.0
Tirunelveli,86540,8644,1228,Sugarcane,1186,Red,Tube Wells,164,25,21,4844,Low,6521,5.48,13,28,54,40.42,5.12,23,23,11,0.3,11.0,2.27,30.87,5.73,1.28,65000.0
Tirupathur,99818,7136,2150,Groundnut,842,Laterite,Wells,187,29,19,5095,High,12567,5.75,43,58,30,13.72,2.21,36,16,39,1.87,6.99,2.76,30.64,5.88,3.12,35000.0
Tiruppur,46071,6654,1326,Groundnut,892,Black,Tanks,191,31,16,4148,High,32628,5.81,38,40,51,26.02,1.3,41,34,18,1.19,22.51,7.15,13.65,3.38,1.5,35000.0
Tiruvannamalai,40032,1718,1538,Tapioca,1268,Alluvial,Wells,145,27,22,4210,Medium,12873,7.45,41,53,70,12.57,3.27,33,32,35,1.84,9.53,8.36,46.39,4.53,1.58,40000.0
The Nilgiris,69009,6389,1932,Paddy,1093,Red,Canals,159,27,14,5394,Low,18732,6.05,47,45,73,45.09,1.87,41,19,20,0.77,10.78,4.6,3.15,8.3,3.05,45000.0
Vellore,41174,5387,1526,Tapioca,1068,Mixed,Tanks,145,31,25,5123,Low,26988,6.11,39,52,46,18.63,4.56,53,26,20,1.39,9.79,6.8,12.76,3.14,1.09,40000.0
Viluppuram,90697,3675,911,Tapioca,1127,Laterite,Tube Wells,154,35,13,4903,High,31348,8.28,50,37,68,34.87,2.29,42,26,28,2.26,15.88,4.56,14.36,4.0,2.02,40000.0
Virudhunagar,89514,6870,593,Tapioca,857,Black,Tube Wells,159,33,24,5471,Medium,33911,6.1,18,26,48,17.68,1.93,57,40,22,0.17,27.94,4.95,32.13,9.69,1.26,40000.0
Ariyalur,20074,7913,1346,Maize,995,Red,Tube Wells,153,26,19,4277,Medium,10871,5.74,26,56,57,27.15,5.66,50,27,31,2.41,37.02,5.94,16.55,2.2,1.58,40000.0
Chengalpattu,98504,7858,608,Paddy,1386,Alluvial,Canals,152,32,23,4452,Low,31127,7.48,39,46,68,11.15,4.43,33,14,35,1.49,23.42,0.97,3.6,5.04,2.47,45000.0
Chennai,62487,6238,2046,Cotton,828,Red,Tube Wells,159,26,11,4439,Low,5277,6.88,48,30,38,37.7,2.06,23,16,39,1.07,35.68,4.53,37.41,12.94,3.06,55000.0
Coimbatore,84042,6231,2025,Sugarcane,837,Alluvial,Wells,103,30,16,4447,High,33991,7.4,18,35,31,14.84,4.03,28,33,38,0.85,9.57,6.58,27.86,7.42,4.75,65000.0
Cuddalore,22552,3364,686,Groundnut,711,Black,Wells,171,35,16,4759,Low,27748,5.37,33,34,65,36.27,1.19,49,34,20,1.73,14.71,9.62,20.6,9.23,0.94,35000.0
Dharmapuri,34662,7409,648,Sugarcane,773,Laterite,Tanks,103,26,20,4198,High,9635,7.13,26,30,53,38.26,3.91,34,25,31,0.7,25.38,2.94,24.98,11.79,4.26,65000.0
Dindigul,67576,1920,424,Sugarcane,1363,Red,Tube Wells,198,35,15,4074,Medium,19993,4.95,18,47,56,48.98,3.79,60,36,34,1.62,7.13,5.08,29.4,10.25,0.61,65000.0
Erode,60306,6280,526,Cotton,716,Red,Canals,153,31,22,4525,Medium,17125,5.06,19,21,47,38.25,4.48,28,30,24,0.36,17.22,6.53,42.46,5.87,3.39,55000.0
Kallakurichi,51385,5435,2100,Cotton,847,Laterite,Rain-fed,111,25,23,4023,High,16590,8.22,15,43,66,17.21,4.62,30,14,31,2.2,32.52,7.64,39.6,14.62,2.84,55000.0
Kanchipuram,27592,2896,1999,Sugarcane,1438,Red,Wells,196,27,15,5203,Medium,22061,7.73,42,55,75,15.3,4.54,55,20,22,2.03,27.16,7.27,15.04,3.56,2.99,65000.0
Karur,51571,5794,855,Groundnut,1198,Red,Tanks,117,30,24,4837,Low,11112,5.22,44,44,33,16.87,2.94,42,19,30,1.32,16.26,1.43,22.8,8.41,2.83,35000.0
Krishnagiri,94364,6652,667,Cotton,1373,Mixed,Wells,178,27,10,4246,High,7547,5.27,25,59,37,16.83,2.5,48,19,36,1.59,18.07,6.79,16.85,13.45,1.81,55000.0
Madurai,30322,7407,805,Groundnut,1147,Red,Wells,138,34,16,4574,High,13383,4.57,26,37,42,44.04,5.25,21,33,31,2.28,16.77,1.08,14.35,14.75,2.68,35000.0
Mayiladuthurai,31226,6576,2086,Cotton,839,Mixed,Tanks,200,33,22,5316,High,20136,7.26,50,30,39,20.81,5.7,39,15,39,0.35,33.04,0.51,48.86,12.19,0.86,55000.0
Nagapattinam,83699,7845,1220,Groundnut,786,Red,Wells,131,31,15,5205,Low,20183,4.68,30,49,46,37.53,1.74,30,14,35,2.46,27.43,2.69,2.65,4.1,0.79,35000.0
Kanyakumari,29071,8390,1162,Tapioca,840,Laterite,Wells,174,35,18,4921,Low,34161,5.15,44,46,69,31.01,1.58,36,30,21,1.63,21.47,2.88,44.69,13.63,2.44,40000.0
Namakkal,89822,4614,1805,Groundnut,1357,Black,Canals,165,32,14,4428,High,5808,5.51,17,50,53,41.68,5.76,22,20,36,0.67,20.86,7.55,3.8,3.47,1.11,35000.0
Perambalur,36483,2710,1690,Maize,1125,Red,Rain-fed,147,25,22,4191,High,27770,5.37,47,38,78,38.87,4.26,29,16,35,1.04,30.55,8.54,16.06,5.74,0.6,40000.0
Pudukkottai,36828,8231,1720,Cotton,1166,Laterite,Tanks,116,32,16,4697,High,24524,8.39,21,53,35,42.43,2.7,41,20,24,0.44,25.67,2.15,21.79,7.81,4.63,55000.0
Ramanathapuram,82296,7076,572,Tapioca,1412,Black,Tanks,179,35,14,4484,High,9131,5.63,10,33,66,12.45,0.61,41,13,26,0.97,6.33,0.67,42.76,3.63,1.75,40000.0
Ranipet,92063,3484,1592,Tapioca,1318,Mixed,Tube Wells,169,35,23,5252,Medium,5035,6.44,29,26,43,36.95,2.26,41,12,22,0.77,20.65,1.31,14.09,7.68,0.57,40000.0
Salem,41643,1758,1600,Maize,1135,Laterite,Rain-fed,172,31,20,4243,Low,34731,6.54,44,48,53,19.83,1.67,38,38,27,0.83,36.31,5.69,24.17,2.2,3.38,40000.0
Sivagangai,54741,6190,930,Sugarcane,1338,Alluvial,Wells,137,31,24,4191,High,19579,8.02,40,32,33,39.34,4.78,46,24,31,0.56,37.24,4.95,27.36,5.13,4.76,65000.0
Tenkasi,89163,7238,2064,Groundnut,884,Black,Canals,106,25,17,4512,High,8753,7.59,41,20,71,27.36,3.74,53,26,10,0.67,37.43,5.02,12.13,2.92,2.85,35000.0
Thanjavur,99507,2400,553,Groundnut,1165,Black,Tube Wells,196,29,14,5225,Medium,7976,7.3,12,44,30,22.34,1.51,58,31,11,0.54,32.07,6.4,37.13,5.14,2.38,35000.0
Theni,75461,3062,444,Paddy,1221,Alluvial,Tanks,150,31,25,5099,Low,31252,4.95,37,45,34,10.58,5.95,34,27,38,0.29,16.3,3.79,27.7,10.38,4.92,45000.0
Thiruvallur,47760,1655,532,Cotton,1134,Black,Rain-fed,116,29,20,5288,Low,16280,6.38,41,31,36,45.66,2.41,57,34,21,1.45,36.36,2.61,23.15,10.9,1.19,55000.0
Thiruvarur,90686,5112,804,Sugarcane,1265,Black,Canals,151,35,11,4493,Low,32585,6.96,50,57,51,14.0,3.32,48,15,20,0.7,22.0,8.73,10.18,2.63,0.13,65000.0
Thoothukudi,46365,4069,1722,Sugarcane,1160,Alluvial,Tanks,185,26,13,4090,Medium,10311,5.11,34,33,48,41.64,3.57,49,27,12,2.36,35.09,7.6,21.5,3.9,4.01,65000.0
Tiruchirappalli,60857,4930,1308,Cotton,1093,Laterite,Wells,100,34,12,4974,Low,12394,7.54,46,25,55,21.61,1.72,22,10,37,0.65,24.6,3.18,15.54,10.63,3.15,55000.0
Tirunelveli,72296,2740,2057,Paddy,1063,Red,Tube Wells,159,32,12,5411,Low,28386,6.85,22,43,37,16.73,3.01,38,20,33,0.85,31.23,1.77,44.97,1.89,4.88,45000.0
Tirupathur,68944,4882,663,Paddy,931,Black,Rain-fed,197,33,10,4567,Medium,29639,6.88,23,25,60,40.43,1.86,26,11,14,1.11,30.44,2.51,29.89,3.47,3.74,45000.0
Tiruppur,77422,7156,588,Cotton,890,Laterite,Tube Wells,166,30,10,5108,Low,23046,6.95,25,53,52,32.11,4.89,26,17,39,1.19,30.46,2.65,8.81,5.57,1.38,55000.0
Tiruvannamalai,87839,3170,2135,Groundnut,1134,Laterite,Wells,158,32,11,4342,Medium,5200,6.8,20,25,80,44.12,3.31,46,18,22,0.44,31.25,6.35,15.54,11.26,4.94,35000.0
The Nilgiris,79177,4861,2098,Groundnut,1319,Alluvial,Wells,106,30,20,5346,Medium,10928,6.61,47,49,63,16.21,5.41,50,20,30,0.23,16.56,1.77,22.4,11.98,2.18,35000.0
Vellore,35860,5610,2056,Tapioca,707,Laterite,Tanks,110,33,12,5425,High,11194,7.11,47,54,75,49.41,1.85,55,21,33,1.22,10.97,1.72,17.18,13.34,3.6,40000.0
Viluppuram,52493,7848,1079,Sugarcane,1291,Alluvial,Tube Wells,107,30,20,5492,Medium,19137,6.55,45,52,74,11.23,5.64,54,17,25,1.62,38.01,8.91,22.26,5.23,4.26,65000.0
Virudhunagar,49451,6509,650,Cotton,1210,Laterite,Tube Wells,134,26,21,4013,High,27951,5.3,37,29,75,37.73,1.78,24,27,30,1.94,37.84,5.18,5.99,6.84,0.73,55000.0
Ariyalur,28392,5363,487,Groundnut,1448,Red,Tube Wells,183,27,16,5002,Medium,10513,7.44,32,38,71,19.79,2.37,43,33,23,0.57,31.06,4.78,11.24,8.5,2.06,35000.0
Chengalpattu,64313,8650,1344,Paddy,942,Mixed,Tube Wells,113,31,14,4443,Medium,8243,4.58,16,29,33,43.47,3.96,57,26,18,1.44,34.03,2.22,3.9,7.62,3.09,45000.0
Chennai,22757,8449,503,Cotton,1429,Laterite,Canals,142,33,16,4843,Medium,26202,5.38,32,44,64,24.71,5.11,46,15,30,0.77,19.68,4.83,24.58,13.35,2.63,55000.0
Coimbatore,97110,7527,744,Sugarcane,1213,Laterite,Tanks,176,31,19,4677,Low,31059,6.23,49,43,33,37.91,1.65,60,26,18,0.23,32.76,3.94,17.91,5.92,1.72,65000.0
Cuddalore,92603,7458,1575,Groundnut,975,Laterite,Rain-fed,112,35,12,4204,Low,24922,6.14,13,41,43,22.31,1.49,38,40,40,2.25,34.6,6.91,5.8,0.68,3.84,35000.0
Dharmapuri,50161,2010,1287,Groundnut,1120,Alluvial,Canals,137,26,21,4181,Low,28775,7.45,20,56,63,26.45,1.77,45,25,29,0.96,6.8,0.96,49.41,10.79,2.12,35000.0
Dindigul,97128,7281,2082,Paddy,1259,Black,Tube Wells,172,27,20,5031,Medium,26635,7.48,31,39,76,38.06,2.21,49,15,18,1.66,28.09,9.95,7.38,12.92,0.97,45000.0
Erode,48864,2631,1883,Groundnut,1290,Alluvial,Wells,161,25,24,5193,Low,10600,7.32,39,46,62,47.52,5.15,34,10,16,1.83,33.19,6.75,34.04,5.22,2.44,35000.0
Kallakurichi,20942,5749,1208,Groundnut,1075,Red,Wells,188,30,25,4469,High,7212,4.75,44,59,66,14.72,1.34,53,18,40,1.91,32.05,5.45,7.12,5.23,0.45,35000.0
Kanchipuram,29305,3198,1416,Paddy,734,Alluvial,Tube Wells,142,34,20,5178,Low,16553,5.89,28,55,70,39.43,4.67,45,24,23,1.72,34.82,8.83,41.09,8.09,0.61,45000.0
Karur,27716,6094,460,Paddy,738,Black,Canals,107,29,15,4568,Low,34717,5.29,37,57,78,27.03,5.63,41,22,39,0.74,34.82,2.27,18.94,14.99,1.92,45000.0
Krishnagiri,50007,4162,1183,Sugarcane,1281,Red,Canals,115,28,19,4000,Low,34831,5.15,27,21,76,12.61,0.62,44,25,17,2.35,25.61,1.45,34.7,4.92,3.32,65000.0
Madurai,28834,6924,1799,Tapioca,1194,Black,Tanks,194,33,19,4874,Medium,22184,5.85,13,46,77,23.45,3.64,58,23,15,2.14,27.21,9.29,19.9,8.02,3.18,40000.0
Mayiladuthurai,24117,5418,1273,Cotton,1421,Black,Wells,174,34,13,5426,Low,30745,6.68,43,29,32,49.59,2.56,20,22,24,1.18,11.13,5.5,28.73,9.39,1.56,55000.0
Nagapattinam,63309,5804,753,Groundnut,1077,Mixed,Tube Wells,186,32,15,4714,Medium,9079,5.25,31,35,48,10.32,4.43,39,39,11,2.35,14.58,4.6,7.64,4.74,1.38,35000.0
Kanyakumari,29287,4586,1124,Groundnut,815,Red,Canals,165,31,14,4730,Low,22113,4.89,50,28,46,42.11,3.02,37,22,21,1.34,29.0,0.83,29.17,7.4,2.33,35000.0
Namakkal,87391,4070,839,Paddy,1294,Mixed,Canals,194,25,15,4926,Medium,23771,5.79,42,49,70,21.4,0.8,52,32,23,1.52,34.66,7.25,30.88,10.34,3.59,45000.0
Perambalur,51195,2918,783,Tapioca,1193,Mixed,Rain-fed,191,32,23,5139,High,34814,4.69,32,29,34,22.36,1.77,36,11,13,1.09,19.98,2.3,16.8,2.81,4.19,40000.0
Pudukkottai,56500,5265,963,Tapioca,1407,Black,Tanks,106,29,13,5425,Low,21018,7.74,43,34,33,24.06,0.75,47,27,18,1.22,35.71,2.69,7.22,6.0,0.13,40000.0
Ramanathapuram,83624,8972,973,Sugarcane,781,Mixed,Rain-fed,189,25,23,4336,Medium,28684,5.58,43,50,48,34.84,5.54,51,14,40,2.42,12.32,8.36,47.12,5.8,0.21,65000.0
Ranipet,48080,5867,1313,Groundnut,845,Alluvial,Wells,126,26,15,4055,Low,5140,8.05,22,27,33,34.8,2.7,34,27,23,2.2,26.85,7.26,23.08,5.54,4.05,35000.0
Salem,90678,4304,704,Sugarcane,1447,Mixed,Tube Wells,166,32,25,4199,High,27491,8.1,44,48,47,12.6,1.19,33,27,21,1.39,22.37,5.58,42.23,6.89,2.25,65000.0
Sivagangai,37342,5975,470,Maize,1448,Mixed,Wells,118,32,18,5284,Medium,16994,6.7,20,59,45,17.7,5.02,31,25,16,2.03,28.75,5.65,42.81,3.11,3.45,40000.0
Tenkasi,94847,4402,1657,Paddy,1239,Black,Tube Wells,171,30,17,5170,Medium,23531,4.51,30,52,34,11.56,2.3,31,19,38,2.33,25.47,5.3,39.24,3.24,3.58,45000.0
Thanjavur,95525,7036,1668,Tapioca,1468,Laterite,Canals,194,25,13,4043,Low,8095,5.92,37,57,52,22.44,5.0,59,20,18,0.5,37.74,3.33,14.32,11.12,4.78,40000.0
Theni,81953,7824,1663,Groundnut,1497,Alluvial,Canals,163,34,14,5366,Low,19212,7.26,40,21,55,35.45,3.18,24,32,35,1.82,26.58,8.21,32.33,7.05,2.48,35000.0
Thiruvallur,51850,8607,903,Sugarcane,986,Black,Tube Wells,117,35,24,4563,High,8487,8.2,18,29,54,22.0,0.99,30,32,18,1.85,9.98,0.65,34.82,11.61,2.16,65000.0
Thiruvarur,81993,7405,1725,Cotton,1176,Laterite,Wells,128,30,13,4394,High,30323,7.87,35,30,62,22.99,5.71,38,36,15,2.44,33.7,7.61,25.09,13.21,2.72,55000.0
Thoothukudi,73354,7076,1004,Sugarcane,1229,Alluvial,Wells,186,29,11,4352,Low,8672,6.96,21,34,51,13.73,2.28,54,26,11,2.02,28.27,6.84,40.59,2.78,2.64,65000.0
Tiruchirappalli,44957,6769,1421,Sugarcane,780,Red,Tanks,181,31,14,4321,Medium,21486,7.14,11,50,34,35.34,5.23,58,24,11,1.93,16.88,4.89,43.12,9.78,0.66,65000.0
Tirunelveli,32363,8083,1243,Maize,1235,Alluvial,Rain-fed,119,30,22,4479,High,19304,6.76,42,56,73,12.23,0.8,41,12,19,0.18,6.33,9.05,48.59,13.1,2.77,40000.0
Tirupathur,32704,7179,1527,Groundnut,1324,Red,Tube Wells,138,35,25,4092,High,11928,6.95,27,23,43,46.37,3.73,42,33,14,0.19,5.03,6.45,33.74,14.3,1.32,35000.0
Tiruppur,76498,3665,1381,Tapioca,790,Alluvial,Wells,180,29,22,5500,Low,22548,4.74,35,22,51,17.16,5.81,54,31,12,1.97,24.61,8.9,44.15,11.0,0.98,40000.0
Tiruvannamalai,66438,6497,524,Tapioca,951,Laterite,Canals,139,25,25,4367,Medium,17170,6.09,40,47,42,44.4,3.99,49,14,31,1.73,31.59,7.83,41.29,6.02,2.23,40000.0
The Nilgiris,75519,5466,579,Groundnut,1183,Red,Wells,192,33,15,4401,Medium,15889,7.29,18,40,63,36.7,4.34,48,11,26,0.12,16.99,2.84,41.99,8.09,2.53,35000.0
Vellore,73883,3075,972,Paddy,1345,Mixed,Wells,100,29,10,4428,High,23030,5.16,47,37,70,42.87,2.0,21,30,23,0.77,30.01,6.8,6.87,5.82,3.89,45000.0
Viluppuram,81213,3519,1184,Sugarcane,1459,Alluvial,Tanks,162,27,21,4404,Low,23042,6.33,20,54,71,12.82,1.34,20,25,24,1.95,37.95,8.02,3.91,8.31,1.06,65000.0
Virudhunagar,27100,3785,681,Cotton,1379,Red,Wells,179,29,24,4271,Medium,7672,6.24,33,60,36,35.72,4.06,47,20,18,1.58,14.9,3.46,48.2,12.48,3.07,55000.0
Ariyalur,32899,6071,1258,Maize,1384,Black,Tanks,188,30,15,4604,Low,28931,5.48,29,60,47,22.73,4.28,30,16,24,1.29,19.52,7.65,12.98,2.47,2.75,40000.0
Chengalpattu,27944,3945,808,Sugarcane,779,Alluvial,Canals,125,31,24,4943,Low,24285,5.41,23,48,62,22.78,2.15,35,12,32,2.43,30.89,1.03,41.5,2.58,3.22,65000.0
Chennai,72772,3342,1716,Cotton,1400,Alluvial,Canals,114,25,10,4125,Low,33859,7.88,50,23,71,20.69,2.37,59,31,13,2.47,21.44,4.14,35.63,3.44,4.38,55000.0
Coimbatore,64473,3938,2032,Paddy,1348,Laterite,Canals,108,32,25,5355,Medium,15254,8.47,30,55,43,39.97,2.18,36,36,37,1.98,16.21,7.16,7.84,10.75,0.72,45000.0
Cuddalore,34322,7817,1476,Maize,1252,Laterite,Canals,100,30,21,4920,High,23644,5.33,33,37,60,33.75,0.93,40,36,21,0.81,34.3,7.36,24.01,1.7,1.35,40000.0
Dharmapuri,52591,3867,910,Groundnut,1293,Laterite,Canals,119,29,20,4462,High,29563,7.99,15,49,49,17.02,3.91,57,16,14,0.35,24.02,2.82,24.65,6.43,0.72,35000.0
Dindigul,45112,7274,1691,Groundnut,1019,Red,Wells,177,35,12,5266,Low,20196,6.94,47,48,59,35.37,2.54,57,32,11,1.16,7.42,6.1,9.78,7.17,4.15,35000.0
Erode,44931,3198,2042,Sugarcane,1327,Mixed,Rain-fed,115,25,21,4275,Medium,27618,6.04,35,57,50,16.98,2.55,37,39,17,1.7,39.76,5.5,16.75,12.81,4.04,65000.0
Kallakurichi,90292,7154,1513,Maize,754,Alluvial,Tube Wells,166,34,12,4064,Medium,20415,7.66,20,40,52,29.21,0.98,30,22,20,1.39,28.65,2.79,20.04,1.42,2.75,40000.0
Kanchipuram,78800,7275,2027,Cotton,1051,Red,Canals,112,26,15,4241,Medium,10487,8.34,45,36,62,38.44,2.26,46,27,12,0.14,26.29,6.63,21.84,5.87,0.68,55000.0
Karur,38373,5505,439,Paddy,1247,Alluvial,Rain-fed,131,30,14,5486,Low,28067,5.36,20,24,33,27.31,3.31,37,21,30,2.36,21.87,1.02,14.19,12.83,4.38,45000.0
Krishnagiri,75296,4097,1183,Tapioca,1497,Mixed,Rain-fed,126,25,19,5482,High,27633,6.43,21,60,42,36.56,4.97,22,29,28,0.33,29.69,9.91,16.04,9.72,3.35,40000.0
Madurai,44050,5430,2001,Tapioca,711,Laterite,Rain-fed,113,33,22,4418,High,8086,8.1,21,48,32,49.96,5.68,51,16,12,2.23,16.68,9.37,20.23,7.01,4.41,40000.0
Mayiladuthurai,56509,4357,1860,Paddy,1180,Red,Wells,160,31,14,4750,High,17508,4.83,32,46,69,34.0,4.74,46,13,28,2.39,26.53,3.45,22.13,0.85,4.05,45000.0
Nagapattinam,80637,6091,1135,Groundnut,1164,Mixed,Tanks,103,28,13,5284,Low,23219,5.84,10,51,70,41.01,0.91,21,21,26,2.47,19.6,1.27,19.54,11.74,1.62,35000.0
Kanyakumari,52742,8015,1382,Groundnut,1224,Black,Canals,164,27,16,4613,Low,21933,4.96,16,40,30,32.79,1.0,60,34,21,1.42,15.93,4.49,47.52,12.62,2.49,35000.0
Namakkal,29880,7411,1515,Paddy,1180,Black,Rain-fed,156,26,20,5406,High,6456,7.02,44,40,36,19.35,1.87,55,34,31,1.08,30.31,6.82,26.24,11.62,3.53,45000.0
Perambalur,78082,3740,2000,Groundnut,1287,Alluvial,Tube Wells,150,33,19,4884,High,28226,6.67,21,32,55,31.49,5.87,58,32,40,0.3,31.17,6.63,45.32,12.53,1.83,35000.0
Pudukkottai,92132,3857,1392,Paddy,1451,Red,Wells,107,26,12,4315,Medium,6649,7.75,32,57,63,13.73,5.86,40,14,31,1.1,5.76,6.12,10.64,13.18,2.1,45000.0
Ramanathapuram,32833,2498,1104,Sugarcane,1039,Red,Wells,115,27,21,5408,Low,29589,7.81,50,53,50,20.0,2.4,33,22,10,2.38,7.08,3.25,34.79,14.09,4.06,65000.0
Ranipet,26630,6197,1558,Tapioca,1131,Alluvial,Wells,138,27,25,4129,Low,30333,6.11,35,24,54,43.39,0.62,23,14,35,0.46,17.4,7.59,6.03,6.94,0.58,40000.0
Salem,90855,7042,1428,Cotton,1061,Alluvial,Tanks,151,35,10,4325,Low,16130,6.09,20,54,48,35.0,4.44,25,13,20,1.14,5.78,4.73,33.89,13.91,3.26,55000.0
Sivagangai,21934,5949,1058,Tapioca,1001,Mixed,Rain-fed,161,32,23,4970,Low,12744,4.92,29,54,58,31.67,1.73,28,31,23,1.95,32.67,4.8,12.94,11.48,2.94,40000.0
Tenkasi,32224,4610,1195,Maize,996,Mixed,Tube Wells,123,31,15,4774,Low,20687,6.24,38,59,37,40.18,4.29,23,30,21,0.82,12.16,6.81,26.41,12.84,0.64,40000.0
Thanjavur,50982,8838,953,Sugarcane,871,Laterite,Canals,130,29,21,4015,High,22530,5.72,21,22,61,34.35,3.86,34,11,30,2.37,35.98,1.15,39.09,8.4,3.31,65000.0
Theni,41798,4732,768,Maize,736,Alluvial,Tanks,169,30,18,4350,Medium,30086,7.61,45,48,58,10.65,1.9,35,25,13,1.29,7.67,9.94,43.61,10.6,1.54,40000.0
Thiruvallur,73269,8204,453,Paddy,1411,Laterite,Canals,133,32,16,4767,Medium,31486,4.5,36,33,65,34.84,4.69,56,36,17,1.77,23.45,5.91,43.1,6.61,3.9,45000.0
Thiruvarur,83653,4327,1053,Cotton,1311,Red,Rain-fed,178,34,18,4071,Medium,27916,4.8,22,49,46,19.22,0.88,52,19,17,1.45,22.44,7.98,40.17,11.17,4.34,55000.0
Thoothukudi,83092,7832,1622,Sugarcane,1467,Black,Tube Wells,187,28,10,5091,High,24787,5.12,47,52,32,41.76,4.42,21,32,20,1.09,22.36,2.54,43.47,1.8,2.88,65000.0
Tiruchirappalli,48016,8091,848,Tapioca,1011,Black,Wells,156,33,25,4358,High,33117,6.52,26,24,35,15.07,3.09,27,38,38,0.3,20.71,4.44,32.37,14.82,3.34,40000.0
Tirunelveli,72565,2699,460,Groundnut,1444,Laterite,Canals,184,34,20,5401,Medium,12076,5.13,21,42,68,36.15,2.33,35,40,37,2.03,23.24,9.24,15.05,14.82,4.45,35000.0
Tirupathur,27685,3879,2060,Maize,1277,Alluvial,Wells,178,32,15,4860,Medium,7200,8.1,10,57,32,44.35,3.23,52,12,27,2.45,27.77,8.79,37.8,9.02,3.18,40000.0
Tiruppur,41579,1844,1994,Maize,966,Alluvial,Rain-fed,115,25,11,4222,Medium,22940,7.37,15,24,39,21.76,4.66,51,18,20,1.3,36.57,8.76,34.67,7.35,4.16,40000.0
Tiruvannamalai,69672,3856,975,Groundnut,762,Black,Rain-fed,155,26,17,4173,Medium,17302,5.11,20,40,59,25.14,2.47,25,35,11,1.22,39.88,3.59,38.84,8.11,2.58,35000.0
The Nilgiris,20282,7350,519,Sugarcane,1344,Black,Rain-fed,118,30,19,4322,High,24944,7.19,20,51,80,36.93,5.72,44,40,27,0.13,36.26,7.33,46.81,13.0,3.3,65000.0
Vellore,71173,2147,2056,Groundnut,1184,Laterite,Wells,181,30,18,4433,Low,10065,7.9,25,58,72,30.5,5.42,29,18,12,0.68,11.6,7.91,30.59,10.51,4.71,35000.0
