District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm
Sangrur,100040,7987,2170,Cotton,1032,Clay,Tanks,125,35,20,5735,Medium,23477,8.41,28,71,69,38.27,0.94,28,12,35,2.38,17.12,5.33,9.6,1.36,0.67
Shaheed Bhagat Singh Nagar,42145,4441,1190,Wheat,788,Calcareous,Canals,157,18,29,5856,High,10193,7.1,50,45,63,40.68,2.64,30,20,34,1.14,15.24,2.7,12.54,1.88,2.11
Tarn Taran,53753,9959,2344,Maize,1136,Sandy Loam,Canals,239,27,13,4656,Low,30626,7.05,58,35,72,50.74,1.14,38,16,33,1.51,26.72,4.38,11.85,4.48,1.97
Amritsar,34927,3832,2035,Wheat,1122,Loam,Canals,122,28,27,4437,Medium,8001,7.57,13,30,97,21.9,1.74,60,13,32,0.57,15.05,2.92,5.21,3.27,1.29
Barnala,78889,7792,2296,Cotton,490,Alluvial,Tanks,238,23,19,4238,Medium,30332,7.95,51,34,95,41.65,0.86,42,27,36,1.72,16.09,3.65,11.26,6.66,0.67
Bathinda,82242,6701,2073,Cotton,532,Calcareous,Rain-fed,196,35,14,5570,Low,21887,8.42,12,49,59,35.99,0.92,34,44,32,1.66,24.94,4.62,6.6,1.7,1.24
Faridkot,88192,3820,2162,Rice,405,Loam,Rain-fed,135,32,18,4798,Low,28414,7.77,25,47,56,33.92,2.25,36,37,28,1.6,14.31,3.92,10.25,6.37,2.11
Fatehgarh Sahib,60174,9740,1026,Rice,1165,Sandy Loam,Tanks,170,19,22,4289,Medium,20107,8.55,44,66,109,48.88,0.84,40,40,18,2.29,20.07,5.38,8.47,3.64,1.26
Fazilka,70818,4490,1498,Rice,467,Calcareous,Rain-fed,129,25,23,4589,High,30072,7.17,58,71,73,33.37,1.24,45,38,23,1.64,21.87,3.06,8.8,2.21,1.29
Ferozepur,115764,6170,543,Rice,1017,Clay,Tube Wells,234,37,12,4876,Medium,30938,7.38,41,50,45,37.82,1.09,55,20,31,2.2,19.08,1.39,15.02,5.49,1.74
Gurdaspur,59628,8282,1311,Cotton,427,Calcareous,Tube Wells,138,16,19,5897,Medium,23638,8.01,24,27,86,49.16,1.74,30,25,14,1.69,29.37,3.07,15.44,2.99,1.97
Hoshiarpur,115637,8122,2394,Wheat,827,Sandy Loam,Rain-fed,138,16,29,5000,High,4427,7.21,31,66,59,47.94,2.51,46,30,25,1.01,24.77,4.32,16.37,2.96,0.98
Jalandhar,70718,6339,2128,Maize,699,Sandy Loam,Tanks,137,24,28,4483,Medium,17607,8.39,42,58,66,22.07,2.27,60,10,27,2.8,27.54,3.21,12.33,2.26,1.69
Kapurthala,43860,9919,2237,Cotton,1103,Alluvial,Tube Wells,180,27,12,4043,Low,4348,7.73,35,51,54,45.55,2.17,49,12,24,1.56,17.07,1.53,11.76,2.94,1.05
Ludhiana,71147,2314,598,Maize,1153,Alluvial,Tube Wells,238,36,13,5853,High,15754,7.3,19,57,87,31.17,1.0,34,22,21,2.63,13.66,1.03,13.04,4.33,1.44
Malerkotla,58652,3255,1414,Wheat,586,Sandy Loam,Tanks,158,17,30,5239,High,6809,7.27,16,40,109,33.17,1.33,42,24,14,1.58,23.52,4.59,4.66,2.39,1.62
Mansa,118381,6777,2024,Maize,653,Clay,Rain-fed,156,32,26,4063,Medium,12799,7.69,51,69,67,47.11,2.73,25,16,21,2.35,26.35,1.18,5.74,3.3,0.89
Moga,62731,3465,2298,Wheat,1081,Alluvial,Tanks,136,19,34,5071,Medium,8342,8.34,27,66,59,18.9,1.06,58,37,24,0.96,11.63,1.67,10.34,4.47,1.7
Muktsar Sahib,80273,5592,2270,Maize,1185,Alluvial,Tanks,193,14,25,5442,Medium,20965,7.19,24,48,45,22.46,0.93,39,33,19,2.04,11.0,1.11,9.96,6.12,0.9
Pathankot,68846,4681,1495,Wheat,399,Clay,Tube Wells,180,13,32,5190,High,27098,8.16,57,72,88,43.57,1.35,48,29,14,1.5,26.52,4.48,9.33,4.82,1.43
Patiala,87425,7985,561,Cotton,442,Alluvial,Rain-fed,126,18,18,4114,High,4786,7.66,20,56,64,34.17,2.64,29,11,37,1.87,22.46,1.07,15.17,6.2,2.23
Rupnagar,40502,4857,1911,Rice,712,Clay,Rain-fed,122,33,34,5569,Medium,18296,8.58,53,31,43,30.52,0.91,64,41,26,1.71,12.56,1.42,7.84,3.35,2.52
Sahibzada Ajit Singh Nagar,87385,2419,776,Cotton,963,Loam,Rain-fed,138,31,26,5760,Medium,24708,7.42,53,33,99,51.15,0.73,43,38,19,1.08,22.32,3.3,16.74,6.55,0.92
Sangrur,85195,5426,1576,Rice,573,Loam,Tube Wells,196,14,33,5291,High,8829,7.78,21,44,61,38.49,1.33,43,36,21,2.38,30.85,5.25,14.71,6.1,1.85
Shaheed Bhagat Singh Nagar,63582,6775,1177,Cotton,421,Sandy Loam,Canals,246,13,25,5782,Medium,15645,8.34,49,56,59,23.48,1.13,32,24,23,2.9,30.72,3.18,14.19,5.67,1.1
Tarn Taran,39132,7746,1668,Wheat,1175,Loam,Canals,241,14,13,4848,Low,25797,8.11,27,65,104,16.55,1.97,34,19,16,2.22,14.23,3.59,16.87,3.14,1.32
Amritsar,95948,9704,603,Wheat,581,Clay,Canals,228,28,13,5270,High,21273,7.9,59,41,73,43.06,1.03,37,32,37,2.11,30.09,4.58,16.54,6.87,2.04
Barnala,68408,3610,2104,Rice,479,Calcareous,Rain-fed,230,40,29,5705,Low,24230,7.94,27,66,101,31.21,2.42,26,13,36,2.99,21.38,2.78,10.02,3.01,1.03
Bathinda,119759,6591,2077,Sugarcane,351,Sandy Loam,Tanks,220,35,12,4324,Medium,13909,7.01,41,65,75,17.89,1.08,36,40,14,1.88,19.47,1.79,4.93,5.22,0.33
Faridkot,72021,5285,1171,Rice,521,Alluvial,Rain-fed,213,33,25,4824,High,29506,7.31,20,43,67,18.95,2.11,31,15,38,1.61,10.62,2.46,6.14,3.0,2.33
Fatehgarh Sahib,92534,5433,1664,Sugarcane,909,Calcareous,Tube Wells,170,17,26,4180,High,5647,7.35,16,32,69,14.73,1.06,39,30,16,1.55,27.66,2.0,6.96,6.71,0.96
Fazilka,99893,5386,2324,Wheat,1186,Loam,Rain-fed,200,39,23,4168,Medium,11948,7.23,42,43,86,45.63,1.09,42,42,14,2.84,20.77,2.85,12.27,1.58,1.39
Ferozepur,46682,3747,1005,Maize,494,Sandy Loam,Tube Wells,125,34,22,4355,Medium,13444,8.31,35,36,94,42.63,2.8,61,39,36,2.05,31.0,3.22,5.68,6.8,1.17
Gurdaspur,63663,3139,612,Wheat,406,Sandy Loam,Rain-fed,232,22,34,5842,Low,14914,8.32,48,58,101,30.68,2.0,55,19,35,1.93,12.21,5.13,9.16,6.86,1.68
Hoshiarpur,86481,3294,941,Sugarcane,908,Alluvial,Tube Wells,231,24,22,4945,Low,17281,8.2,28,31,96,30.71,1.38,52,13,12,0.65,10.87,3.48,7.52,6.24,1.14
Jalandhar,68126,4601,1292,Maize,1103,Loam,Tanks,134,15,27,4833,High,27471,8.63,60,38,50,24.46,1.46,27,18,34,1.24,29.58,2.03,4.58,2.8,1.6
Kapurthala,83652,5759,1308,Rice,694,Alluvial,Tube Wells,139,15,32,4879,Low,23080,8.39,16,53,57,17.24,1.5,48,27,23,2.71,22.75,2.98,6.55,1.83,2.24
Ludhiana,116273,6520,939,Maize,1166,Calcareous,Tanks,198,15,32,4128,Low,17650,8.16,51,71,107,17.02,0.74,44,28,22,1.78,24.12,2.02,6.22,3.57,2.0
Malerkotla,110085,5579,938,Cotton,1026,Clay,Canals,126,26,30,4225,High,22234,8.54,48,28,54,54.43,0.73,49,25,37,1.09,17.62,2.36,16.46,1.92,0.25
Mansa,50895,6443,2397,Sugarcane,1179,Alluvial,Tube Wells,240,39,20,4229,Medium,19797,7.86,33,50,80,18.1,2.11,62,12,40,1.76,21.93,1.94,9.73,3.94,0.46
Moga,67000,6887,2430,Rice,1199,Loam,Canals,229,36,23,5934,Low,17517,7.36,12,54,84,50.93,2.76,64,23,40,2.81,19.05,3.85,16.1,5.94,2.38
Muktsar Sahib,79670,7825,1665,Cotton,943,Calcareous,Canals,192,39,18,4639,Low,15542,7.21,51,34,98,26.89,0.69,38,10,18,2.92,18.0,1.25,15.08,6.84,2.27
Pathankot,118898,2983,1028,Cotton,595,Sandy Loam,Rain-fed,154,18,19,5496,Medium,4421,7.07,14,41,105,50.53,2.67,57,21,27,0.85,15.49,5.65,9.46,5.81,1.88
Patiala,118912,4196,2228,Rice,875,Loam,Canals,136,15,31,5164,High,18610,8.23,37,67,107,16.54,1.66,59,32,17,1.39,31.44,4.43,13.4,2.35,1.54
Rupnagar,109203,5068,803,Sugarcane,969,Clay,Canals,195,34,18,5334,High,14024,7.58,45,58,73,46.75,1.91,54,41,18,2.29,11.79,3.6,8.98,1.78,1.02
Sahibzada Ajit Singh Nagar,111089,5491,620,Rice,510,Alluvial,Canals,177,12,30,5395,High,15148,8.03,46,66,101,50.37,0.98,44,27,24,0.16,23.45,5.61,9.99,3.47,1.17
Sangrur,117396,9069,2230,Rice,566,Loam,Tube Wells,136,12,13,4812,Low,5996,7.39,24,55,67,52.17,2.0,55,42,24,2.4,13.95,4.58,6.76,5.66,2.54
Shaheed Bhagat Singh Nagar,87678,2247,1111,Wheat,1081,Alluvial,Tube Wells,197,40,28,4241,High,19358,7.04,32,44,102,36.59,2.05,61,12,22,2.24,26.69,2.14,15.29,4.78,0.74
Tarn Taran,55489,3093,2016,Wheat,633,Clay,Rain-fed,140,20,17,4496,High,19595,8.59,15,40,77,20.51,1.13,25,44,39,1.66,11.42,2.52,7.86,4.64,1.36
Amritsar,79784,4576,1000,Rice,563,Calcareous,Tanks,206,37,25,5204,Medium,22298,7.05,49,36,63,34.12,0.79,63,36,22,2.86,19.9,3.93,16.84,4.75,1.28
Barnala,74151,4066,709,Maize,874,Clay,Tanks,200,38,32,4164,High,28564,7.09,45,26,93,27.3,1.98,43,13,15,0.42,21.19,3.59,8.49,6.37,1.7
Bathinda,55907,8304,737,Wheat,1126,Calcareous,Canals,141,20,23,5865,High,9568,7.59,27,49,60,13.89,0.83,64,33,11,1.49,25.53,1.09,16.15,2.88,0.37
Faridkot,75269,9070,779,Cotton,577,Sandy Loam,Tube Wells,160,30,30,4984,Medium,29071,7.21,26,47,100,54.28,1.1,53,26,30,0.4,13.12,5.34,7.64,4.15,0.39
Fatehgarh Sahib,30565,7739,1430,Maize,969,Alluvial,Canals,206,38,17,5521,Medium,21363,7.63,33,64,96,50.24,0.69,40,12,33,2.71,14.24,1.16,15.84,3.97,1.7
Fazilka,117433,4153,1252,Wheat,642,Alluvial,Tanks,156,32,33,5899,Medium,8761,7.74,48,29,101,39.66,0.61,34,33,13,2.9,12.51,5.21,11.28,4.63,1.36
Ferozepur,76568,7121,1992,Maize,435,Clay,Rain-fed,228,31,26,5763,Low,7446,7.16,47,41,45,49.63,1.96,52,23,28,1.15,27.46,2.56,9.62,4.5,2.16
Gurdaspur,68718,5424,1021,Wheat,955,Calcareous,Canals,239,37,29,5821,High,21891,7.96,23,72,84,22.07,1.4,55,39,28,0.28,20.03,3.13,17.44,4.84,2.56
Hoshiarpur,55333,7154,1713,Cotton,583,Alluvial,Rain-fed,187,24,29,5043,Medium,15112,7.41,15,33,68,23.98,0.72,26,38,13,1.58,12.92,1.75,10.81,5.74,0.46
Jalandhar,117164,7198,1526,Wheat,989,Sandy Loam,Canals,144,34,22,5646,High,19915,7.57,44,40,68,16.64,2.65,58,10,16,1.6,29.84,3.22,15.6,3.68,2.41
Kapurthala,117532,6125,750,Maize,947,Alluvial,Rain-fed,122,28,22,4705,High,4162,7.4,38,31,76,18.36,2.23,46,40,34,0.57,20.48,4.8,13.94,5.04,0.48
Ludhiana,52499,9771,1049,Cotton,358,Loam,Canals,180,18,24,5874,Medium,31500,7.18,34,55,90,26.29,2.11,50,12,15,1.53,26.36,2.32,16.4,2.45,2.31
Malerkotla,113894,6358,1833,Rice,484,Clay,Tanks,124,15,32,4579,Low,8248,8.54,39,54,110,45.36,1.69,42,12,25,1.68,22.61,0.96,9.67,3.62,0.52
Mansa,64207,9624,674,Maize,386,Clay,Tanks,180,37,21,5077,Medium,13238,8.17,28,61,70,27.86,1.88,27,43,13,1.26,11.66,5.65,11.56,1.15,1.15
Moga,116136,9992,1365,Maize,351,Alluvial,Rain-fed,219,32,30,4178,High,20105,8.18,21,32,76,52.7,2.39,28,34,20,0.42,19.49,2.22,6.88,5.37,1.03
Muktsar Sahib,84619,5633,1874,Wheat,471,Alluvial,Tanks,126,16,19,5567,Low,19024,7.87,28,73,89,39.96,2.56,59,29,13,0.31,14.44,5.6,8.96,5.75,0.75
Pathankot,60308,2355,2463,Maize,934,Sandy Loam,Canals,140,26,23,5433,Low,8544,8.49,30,31,86,33.01,2.51,35,14,31,1.39,12.92,1.27,17.64,3.44,1.7
Patiala,83509,6334,1547,Maize,914,Calcareous,Tanks,193,21,21,4031,Medium,16650,7.54,54,36,45,47.89,1.6,40,38,14,2.12,21.47,3.62,7.83,5.1,1.07
Rupnagar,75290,8740,1782,Maize,603,Calcareous,Canals,155,12,33,4426,Low,14766,7.65,57,25,88,15.94,2.38,40,43,28,1.43,22.23,4.25,12.47,6.2,1.43
Sahibzada Ajit Singh Nagar,116056,6496,743,Rice,684,Alluvial,Rain-fed,149,32,32,5930,Low,27984,7.12,58,72,53,31.93,2.62,43,26,16,0.91,15.7,3.17,13.01,4.02,1.61
Sangrur,82415,8693,736,Cotton,769,Clay,Rain-fed,234,24,29,5151,Medium,13942,7.42,51,56,87,36.74,1.86,46,19,37,1.03,21.12,4.35,17.75,3.68,0.8
Shaheed Bhagat Singh Nagar,30474,4716,630,Wheat,1094,Sandy Loam,Tanks,124,23,19,4069,Low,21243,7.18,27,66,104,49.23,2.72,40,24,36,2.25,25.28,4.93,17.37,6.33,2.27
Tarn Taran,44723,3906,2037,Cotton,364,Clay,Tanks,146,20,33,4341,Low,12586,8.15,60,60,91,29.87,1.3,27,32,38,1.68,11.22,1.11,11.33,3.71,1.4
Amritsar,95753,7954,1004,Rice,419,Clay,Canals,123,28,30,4285,High,28694,8.59,55,27,52,30.38,2.59,43,34,27,2.64,28.89,2.31,4.97,1.97,1.96
Barnala,99697,9034,536,Sugarcane,928,Calcareous,Tanks,195,21,22,5192,Low,21854,8.54,39,40,70,25.08,1.12,44,18,14,2.44,19.87,5.26,9.66,2.39,1.46
Bathinda,56541,2534,1872,Maize,594,Clay,Tube Wells,225,12,23,5599,High,29751,7.56,35,75,58,12.72,0.79,31,25,32,2.94,13.04,4.3,7.77,1.84,1.77
Faridkot,30169,3134,1926,Maize,595,Calcareous,Tube Wells,230,25,25,4118,Low,21852,7.04,38,25,90,25.68,1.86,34,35,15,1.66,15.23,2.26,9.07,6.07,0.35
Fatehgarh Sahib,98432,7558,1139,Maize,675,Loam,Rain-fed,182,27,23,5358,High,29992,7.71,57,60,75,45.55,1.72,36,13,13,0.26,12.24,3.88,11.53,5.5,0.92
Fazilka,70702,3694,1302,Maize,1042,Clay,Rain-fed,250,27,27,5155,Low,7509,7.99,30,61,43,16.64,1.58,33,26,13,0.66,18.76,1.66,4.69,5.56,1.47
Ferozepur,118119,2480,1541,Wheat,1178,Clay,Canals,167,38,20,4752,High,16650,7.32,34,66,51,19.21,1.11,61,25,19,2.81,18.81,5.69,5.3,6.85,1.06
Gurdaspur,51936,6357,905,Maize,870,Loam,Tube Wells,235,36,21,4697,Medium,13985,7.87,25,30,51,41.3,1.82,52,26,28,0.96,16.5,5.21,12.18,4.24,1.39
Hoshiarpur,96992,4806,989,Maize,696,Clay,Rain-fed,216,39,35,5666,High,30951,7.12,33,49,91,20.73,1.98,46,45,14,2.69,31.9,3.87,14.23,1.26,0.26
Jalandhar,88211,2264,755,Cotton,748,Clay,Rain-fed,145,16,15,5789,High,21775,7.65,57,32,89,19.15,1.13,53,45,20,0.62,26.78,2.43,12.38,2.26,0.33
Kapurthala,56908,4797,1128,Maize,497,Alluvial,Canals,170,13,33,4606,Low,12565,7.54,22,30,46,23.03,1.0,45,11,27,2.51,30.17,3.36,7.76,6.44,2.15
Ludhiana,64590,9635,653,Sugarcane,1187,Sandy Loam,Tube Wells,160,24,34,5063,Low,13419,8.37,42,26,42,40.02,1.0,41,16,28,0.79,30.79,1.04,15.56,3.81,1.22
Malerkotla,84635,8489,1475,Cotton,505,Alluvial,Rain-fed,232,19,27,4228,Low,21612,8.16,22,38,52,30.35,1.16,33,23,16,1.46,16.47,4.01,10.96,2.14,1.65
Mansa,91344,8173,1567,Maize,495,Calcareous,Rain-fed,147,27,26,5420,High,30145,7.29,28,74,45,54.28,0.97,60,16,24,1.31,15.82,2.91,5.04,2.07,0.71
Moga,103449,3890,1433,Sugarcane,533,Alluvial,Rain-fed,135,21,34,4266,Medium,13623,8.35,43,40,44,21.21,2.6,36,40,15,2.03,12.97,3.86,16.93,1.29,1.44
Muktsar Sahib,99603,4250,1811,Cotton,674,Calcareous,Rain-fed,123,27,25,4305,High,31506,7.57,41,66,51,25.56,1.28,30,44,25,0.62,11.58,0.93,17.17,2.69,1.61
Pathankot,112048,5543,2002,Rice,755,Loam,Rain-fed,203,31,20,5923,High,25536,7.58,58,37,72,42.16,2.29,55,45,18,0.3,27.93,3.66,17.75,4.93,0.67
Patiala,111238,3754,658,Sugarcane,383,Calcareous,Canals,230,30,14,4797,High,15088,7.54,34,54,60,13.25,0.66,55,11,13,1.59,25.11,2.36,16.09,2.67,2.21
Rupnagar,112797,5939,720,Cotton,986,Clay,Tube Wells,131,20,30,4110,High,28681,7.48,30,34,94,32.08,1.95,63,39,12,0.64,27.69,1.07,15.2,6.75,0.35
Sahibzada Ajit Singh Nagar,109421,3971,1669,Wheat,497,Alluvial,Tanks,129,26,23,4826,Medium,27405,7.64,46,62,95,41.66,1.05,28,43,17,1.53,21.85,0.99,6.84,5.88,1.6
Sangrur,67683,2651,618,Sugarcane,1073,Loam,Tanks,144,13,16,4198,Low,23604,7.29,20,72,91,19.6,0.94,57,22,22,1.4,13.99,1.25,4.86,5.08,1.07
Shaheed Bhagat Singh Nagar,56251,8530,1063,Cotton,574,Clay,Canals,125,39,29,4561,Medium,24545,7.88,36,59,73,37.2,1.03,36,14,39,0.52,15.18,3.36,5.86,5.17,1.36
Tarn Taran,32702,7515,2186,Cotton,523,Clay,Canals,188,36,22,5849,High,25386,7.16,53,54,59,51.04,0.67,49,13,34,0.22,30.52,1.07,9.09,3.17,1.19
Amritsar,43782,8276,2208,Rice,351,Clay,Rain-fed,219,21,17,4164,High,24731,7.07,24,53,106,27.66,2.24,58,37,36,1.0,14.01,3.96,9.09,6.07,1.52
Barnala,70304,3702,939,Maize,927,Sandy Loam,Tube Wells,138,31,19,5919,Low,11715,7.12,38,48,85,47.64,1.03,41,44,16,0.21,30.32,5.59,15.84,1.83,1.98
Bathinda,39905,5714,1035,Rice,505,Clay,Tube Wells,164,19,21,5749,High,8674,8.26,13,47,88,16.45,2.58,31,25,12,2.19,24.22,2.18,14.37,5.42,1.0
Faridkot,106088,2972,1182,Cotton,1041,Calcareous,Rain-fed,179,15,17,4755,Medium,30548,8.48,24,49,73,20.25,2.11,25,35,29,1.89,10.92,1.39,5.78,3.4,2.33
Fatehgarh Sahib,34189,9960,1703,Maize,1183,Alluvial,Tube Wells,185,25,25,5911,High,15387,8.27,59,63,62,23.15,2.56,33,13,17,2.01,31.91,5.41,6.4,1.38,1.37
Fazilka,37643,8020,662,Rice,1078,Calcareous,Canals,250,35,21,5778,Medium,10498,7.37,44,34,75,27.19,0.9,54,35,38,2.57,28.41,2.63,10.01,2.35,1.88
Ferozepur,84627,9794,1580,Rice,615,Loam,Tube Wells,201,33,14,4712,Low,10319,7.62,52,47,41,23.9,2.32,65,23,14,2.83,22.67,5.21,9.0,3.93,1.01
Gurdaspur,69284,3737,1818,Rice,1187,Calcareous,Tanks,227,27,12,5064,High,6048,8.6,25,69,42,26.36,1.5,58,34,31,2.87,31.81,1.07,4.2,3.74,1.51
Hoshiarpur,78395,6175,1685,Wheat,463,Loam,Tanks,128,33,22,4330,Low,19251,7.81,32,67,105,32.22,2.74,43,10,19,1.3,25.22,5.58,6.41,5.26,1.35
Jalandhar,103037,5037,2465,Cotton,956,Calcareous,Tanks,199,17,13,5009,Low,30770,7.88,28,52,94,26.37,1.7,55,15,39,1.24,16.92,2.65,10.53,4.92,0.8
Kapurthala,112103,4196,1651,Cotton,788,Clay,Tube Wells,194,14,22,5823,Low,6727,7.71,53,63,58,23.79,1.39,42,35,32,2.97,31.62,3.07,8.48,5.27,2.07
Ludhiana,107071,7462,1726,Rice,498,Alluvial,Rain-fed,238,40,22,5649,Medium,18061,7.39,13,37,69,15.86,2.12,64,31,19,0.88,26.64,4.49,6.72,6.15,0.25
Malerkotla,105354,5736,2193,Wheat,391,Clay,Canals,233,23,32,4579,Medium,15424,8.27,15,46,51,20.77,2.23,58,21,15,2.98,28.81,4.33,10.53,6.19,0.7
Mansa,68688,5190,2345,Sugarcane,396,Sandy Loam,Tanks,199,22,15,4207,Medium,24479,8.42,35,53,100,17.79,0.67,35,28,12,0.42,17.08,2.25,4.19,3.18,0.76
Moga,55428,6309,516,Maize,567,Alluvial,Rain-fed,249,22,12,4309,Medium,19435,7.49,21,33,47,46.95,1.77,37,33,22,2.36,30.13,4.79,15.68,5.38,2.11
Muktsar Sahib,43121,5615,1171,Wheat,637,Sandy Loam,Rain-fed,202,24,12,4605,Low,5797,7.93,22,53,42,31.79,1.63,33,22,15,2.12,20.74,2.27,8.2,5.95,2.12
Pathankot,81729,8683,1160,Rice,847,Alluvial,Canals,228,35,26,4494,Medium,16304,7.29,31,63,55,21.47,0.83,46,41,31,0.74,26.82,4.01,11.79,6.66,1.16
Patiala,82225,8966,1339,Maize,1060,Loam,Rain-fed,173,21,33,5434,Medium,28223,7.1,54,54,96,45.08,0.88,53,24,23,0.53,21.27,5.13,17.56,4.42,1.51
Rupnagar,52577,4148,601,Rice,568,Clay,Rain-fed,182,23,12,4214,Medium,13859,7.6,22,25,92,38.67,1.35,46,45,13,2.57,21.38,3.58,7.37,3.73,1.59
Sahibzada Ajit Singh Nagar,64708,7845,1243,Maize,715,Alluvial,Rain-fed,242,38,20,4348,High,24717,8.65,38,71,69,21.13,1.7,50,25,22,0.92,13.23,3.1,17.73,6.17,0.27
Sangrur,90400,3436,581,Sugarcane,781,Alluvial,Tanks,150,21,25,5696,Medium,17057,7.23,55,55,50,19.09,2.19,28,19,31,1.0,27.49,5.14,8.89,6.46,1.84
Shaheed Bhagat Singh Nagar,73130,9648,2189,Cotton,368,Clay,Canals,182,22,13,5998,Medium,5124,8.67,54,40,72,32.76,2.34,58,30,33,1.02,16.01,0.85,10.02,2.31,2.42
Tarn Taran,46838,9620,1472,Rice,805,Clay,Rain-fed,235,24,22,4387,Medium,12127,7.5,46,36,104,18.51,2.46,30,22,10,2.47,24.76,2.46,10.15,5.12,0.85
Amritsar,47126,9059,1463,Rice,930,Calcareous,Tube Wells,193,22,20,4313,Low,30901,7.44,12,48,68,50.29,0.8,27,34,36,2.04,19.85,5.08,5.89,1.9,0.79
Barnala,88530,9330,1803,Maize,857,Clay,Tanks,131,27,23,4344,High,24788,7.82,13,36,66,32.13,2.64,28,30,20,1.96,10.81,5.63,13.6,3.61,1.83
Bathinda,80989,3297,1330,Maize,619,Alluvial,Rain-fed,248,29,29,4981,High,26509,7.89,18,42,96,29.12,0.75,37,14,24,2.75,13.8,4.58,9.62,2.61,1.54
Faridkot,84809,8680,1208,Cotton,1095,Loam,Tube Wells,159,34,24,4877,High,27615,7.92,59,67,90,22.13,1.66,37,41,15,2.8,17.6,4.17,15.62,2.22,1.95
Fatehgarh Sahib,103647,2385,1088,Sugarcane,844,Calcareous,Tanks,127,26,33,5158,High,12509,8.22,15,52,81,40.12,0.75,27,15,29,2.48,22.79,5.69,4.18,3.47,2.44
Fazilka,53440,7845,2091,Sugarcane,589,Calcareous,Canals,131,34,28,5350,Low,29173,7.5,43,28,58,12.76,1.42,26,32,27,2.5,24.24,3.01,6.18,2.93,0.93
Ferozepur,77164,4528,1715,Maize,861,Clay,Canals,190,17,29,4163,Medium,10266,7.39,29,48,40,26.45,1.55,64,13,23,2.74,28.18,4.06,5.01,4.19,1.19
Gurdaspur,62789,6210,2107,Rice,906,Calcareous,Tanks,173,23,32,4144,Low,17401,7.57,42,66,63,48.8,2.05,31,40,23,1.66,19.33,1.26,17.39,6.97,1.34
Hoshiarpur,57212,7725,1033,Maize,675,Calcareous,Canals,193,26,12,5192,Low,19168,7.23,15,73,70,12.25,1.39,65,16,37,1.69,24.88,1.39,16.22,1.89,0.35
Jalandhar,65858,8600,728,Cotton,744,Sandy Loam,Tube Wells,143,13,27,5702,High,18585,8.25,56,26,73,12.33,1.77,37,25,12,1.68,28.15,4.49,6.68,2.15,2.31
Kapurthala,90707,8198,817,Cotton,996,Alluvial,Canals,198,37,18,5940,High,26650,8.47,59,59,76,29.76,1.48,65,30,21,2.03,27.78,3.39,5.32,2.33,1.12
Ludhiana,105060,9380,1778,Cotton,448,Loam,Rain-fed,216,13,22,5096,Low,32129,7.05,23,51,96,41.94,2.63,36,26,16,2.68,12.23,5.25,13.55,5.29,0.97
Malerkotla,80155,9470,1850,Cotton,955,Alluvial,Canals,200,16,17,4021,Low,10048,7.09,28,63,59,51.8,0.8,64,39,21,2.24,12.0,1.35,7.43,6.95,0.93
Mansa,54073,9338,1665,Rice,864,Loam,Tanks,138,30,18,4696,High,14920,7.31,50,53,70,15.66,0.89,50,19,18,0.74,21.47,1.95,7.75,4.72,1.11
Moga,92806,4295,1056,Rice,1182,Calcareous,Tube Wells,154,33,29,5760,Low,18337,8.06,48,48,59,54.99,2.39,30,17,27,0.91,21.97,5.2,4.3,4.64,1.55
Muktsar Sahib,105077,2993,1591,Maize,445,Sandy Loam,Tanks,200,19,25,5200,Medium,23478,7.52,25,54,104,30.32,0.89,45,27,25,1.6,23.93,0.84,9.36,1.87,0.24
Pathankot,112031,6988,1327,Cotton,950,Calcareous,Canals,149,30,21,4627,Low,20475,7.75,51,31,107,51.06,1.14,56,18,19,2.26,15.23,1.55,10.88,1.46,2.29
Patiala,92436,4176,1074,Maize,485,Alluvial,Tube Wells,250,30,15,4308,High,26833,8.11,34,70,81,38.76,1.84,52,27,10,0.96,24.19,2.66,6.81,1.39,1.3
Rupnagar,117164,7654,1216,Rice,1157,Calcareous,Tanks,176,31,21,5309,High,18597,7.19,28,48,84,48.67,0.86,32,23,25,2.51,25.54,3.4,13.27,6.05,0.37
Sahibzada Ajit Singh Nagar,52214,4349,1523,Rice,1200,Loam,Tanks,150,35,35,4820,Low,15838,7.84,37,55,108,30.43,2.27,46,43,32,0.36,13.87,5.51,15.24,2.69,1.04
Sangrur,39797,9814,2099,Sugarcane,979,Sandy Loam,Tube Wells,187,31,25,5684,High,21996,7.94,53,60,78,15.04,0.92,33,26,28,2.45,12.21,2.04,13.3,5.9,0.97
